xHistory,uHistory,tHistory,rHistory,JHistory
[54.42220028 54.42604112 54.94954347],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.89999999999997,[[-1000. -1000. -1000.]],0.0
[54.42220031 54.42604104 54.9495434 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",12.99999999999997,[[-1000. -1000. -1000.]],0.0
[54.42220033 54.42604097 54.94954333],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.09999999999997,[[-1000. -1000. -1000.]],0.0
[54.42220035 54.42604092 54.94954325],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.199999999999969,[[-1000. -1000. -1000.]],0.0
[54.42220037 54.42604087 54.94954318],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.299999999999969,[[-1000. -1000. -1000.]],0.0
[54.42220039 54.42604082 54.94954311],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.399999999999968,[[-1000. -1000. -1000.]],0.0
[54.42220041 54.42604079 54.94954304],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.499999999999968,[[-1000. -1000. -1000.]],0.0
[54.42220042 54.42604076 54.94954297],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.599999999999968,[[-1000. -1000. -1000.]],0.0
[54.42220044 54.42604074 54.9495429 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.699999999999967,[[-1000. -1000. -1000.]],0.0
[54.42220045 54.42604072 54.94954284],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.799999999999967,[[-1000. -1000. -1000.]],0.0
[54.42220046 54.42604071 54.94954278],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.899999999999967,[[-1000. -1000. -1000.]],0.0
[54.42220047 54.4260407  54.94954273],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",13.999999999999966,[[-1000. -1000. -1000.]],0.0
[54.42220048 54.42604069 54.94954267],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",14.099999999999966,[[-1000. -1000. -1000.]],0.0
[54.42220049 54.42604069 54.94954263],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",14.199999999999966,[[-1000. -1000. -1000.]],0.0
[54.42220049 54.42604068 54.94954258],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",14.299999999999965,[[-1000. -1000. -1000.]],0.0
