,t,x_ref_1,x_1,x_tof,x_tof_filtered,u_1,J,FSP_reading
980,3288.869858,28.80859375,28.80859375,79.0,79.01495848006155,2.0000000000000115,4.284993403859662,1.3024523160762942
981,3289.026787,28.80859375,28.80859375,79.0,79.03099276536167,2.0000000000000115,4.284993403859662,1.3024523160762942
982,3289.179843,28.80859375,28.80859375,80.0,79.03824145201949,2.0000000000000115,4.284993403859662,1.3024523160762942
983,3289.340385,28.80859375,26.3671875,80.0,79.06110978619132,2.0000000000000115,4.284993403859662,1.3024523160762942
984,3289.511753,28.80859375,28.80859375,78.0,79.08340591021788,2.0000000000000115,6.823578164992435,1.3024523160762942
985,3289.666435,28.80859375,28.80859375,78.0,79.06178000149738,2.0000000000000115,4.284993403859662,1.3087431693989071
986,3289.818758,28.80859375,28.80859375,81.0,79.03894206886493,2.0000000000000115,4.284993403859662,1.3024523160762942
987,3289.971651,28.80859375,28.80859375,81.0,79.08638302048831,2.0000000000000115,4.284993403859662,1.3024523160762942
988,3290.124014,28.80859375,28.80859375,83.0,79.2088188087871,2.0000000000000115,4.284993403859662,1.3123287671232877
989,3290.289041,28.80859375,28.80859375,81.0,79.33474622047855,2.0000000000000115,4.284993403859662,1.3087431693989071
990,3290.4453,28.80859375,28.80859375,81.0,79.41938453096124,2.0000000000000115,4.284993403859662,1.3087431693989071
991,3290.597534,28.80859375,28.80859375,79.0,79.45282817489776,2.0000000000000115,4.284993403859662,1.3024523160762942
992,3290.749993,28.80859375,28.80859375,82.0,79.4772501137604,2.0000000000000115,4.284993403859662,1.3024523160762942
993,3290.905219,28.80859375,26.3671875,81.0,79.53614188260164,2.0000000000000115,4.284993403859662,1.3024523160762942
994,3291.070545,28.80859375,28.80859375,78.0,79.58135457935448,2.0000000000000115,6.823578164992435,1.3024523160762942
995,3291.227196,28.80859375,28.80859375,80.0,79.57175519836225,2.0000000000000115,4.284993403859662,1.3123287671232877
996,3291.388684,28.80859375,28.80859375,82.0,79.57119103842103,2.0000000000000115,4.284993403859662,1.3024523160762942
