,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,J
116,989.299047,0.0,0.0,0.0,-0.7335600171680627,-0.8075822864806099,-1.6334586977120809,17.0,75.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,136.12295775416644
117,989.463297,0.0,0.0,0.0,-0.710384029467173,-0.9871155110312748,-1.6138065591979969,18.0,75.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,135.2033580323907
118,989.618842,0.0,0.0,0.0,-0.6705365848770533,-1.0361001773648633,-1.5809295988827354,18.0,76.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,136.16620762310222
119,989.774294,0.0,0.0,0.0,-0.6384897601490964,-0.7668394491542254,-1.6423068241043395,18.0,79.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,136.05968509648454
120,989.929695,0.0,0.0,0.0,-0.612515830451628,-0.5826912302806369,-1.9615794630009806,18.0,78.0,63.0,64.0,64.0,63.0,9.0,9.0,9.0,134.67520530404747
121,990.096564,0.0,0.0,0.0,-0.6875116807532331,-0.2626940097944255,-2.025840344117901,17.0,80.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,138.32616285542275
122,990.260531,0.0,0.0,0.0,-0.6729665747600673,0.03876443467051116,-2.073368064901274,18.0,80.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,139.66573451167483
123,990.415964,0.0,0.0,0.0,-0.736245471895177,0.09077821515044304,-1.9746654459510002,17.0,78.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,141.7367322239659
124,990.571344,0.0,0.0,0.0,-0.6163993412286377,0.0916504899631656,-1.763286265061379,19.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,140.50588404207957
125,990.726926,0.0,0.0,0.0,-0.5735592694338312,-0.19518806881040218,-1.5707970305705388,18.0,75.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,136.6320227060295
126,990.89509,0.0,0.0,0.0,-0.46397642557332164,-0.4900119105547769,-1.8117201207392966,19.0,75.0,64.0,64.0,64.0,63.0,9.0,9.0,9.0,132.56594906293105
127,991.059111,0.0,0.0,0.0,-0.7384784992965265,0.04043501733387167,-1.993477280898842,15.0,83.0,66.0,64.0,64.0,63.0,9.0,9.0,9.0,135.5170488138393
128,991.215655,0.0,0.0,0.0,-0.9482187089283771,0.25217267738773375,-1.919861461765636,16.0,79.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,140.52680038524056
129,991.376582,0.0,0.0,0.0,-0.9043200250372365,0.050295998483620874,-1.8176306084823821,18.0,76.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,141.63702895476834
130,991.536041,0.0,0.0,0.0,-0.7314414625860763,-0.0784137106915761,-1.6858417455150858,19.0,77.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,138.34527257181003
131,991.702565,0.15708419435684462,0.0,0.0,-0.5712016172864538,-0.06483146289485209,-1.6674305748270992,19.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,135.01564753563594
132,991.872929,0.6184665997806821,0.0,0.0,-0.5376002308945336,-0.03342133880843523,-1.77315711457361,18.0,78.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,134.92240187201514
133,992.028747,1.3551568628929422,0.0,0.0,-0.5309733532423082,0.18385657019939572,-1.7311788455342823,18.0,80.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,139.62396521678562
134,992.184486,2.3208660251050173,0.0,0.0,-0.5252063393663318,0.017174012100321878,-1.6646796807139574,18.0,76.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,149.45284079805668
135,992.339652,3.4549150281252627,0.0,0.0,-0.6165754018963061,-0.2976246628382029,-1.6111942707370692,17.0,75.0,70.0,64.0,64.0,63.0,24.0,9.0,9.0,512.2969819418812
136,992.510172,4.6860474023534335,0.15708419435684404,0.0,-0.423127842797113,-0.47649165580764885,-1.4686261987225182,20.0,76.0,72.0,64.0,64.0,63.0,24.0,9.0,9.0,427.62837947592266
137,992.674464,5.936906572928624,0.6184665997806821,0.0,-0.39590514676748567,-0.3122477165074291,-1.3314921514245135,18.0,79.0,72.0,64.0,64.0,63.0,24.0,9.0,9.0,465.0268057346026
138,992.829856,7.128896457825364,1.3551568628929422,0.0,-0.4161349942016219,-0.30948544153361457,-1.4188874086518173,18.0,77.0,68.0,64.0,64.0,63.0,32.0,9.0,9.0,758.2560094318922
139,992.986627,8.187119948743451,2.3208660251050164,0.0,-0.5280875796673037,-0.1574852993085627,-1.631745795480829,17.0,79.0,66.0,64.0,64.0,63.0,32.0,9.0,9.0,804.8445509863294
140,993.141968,9.045084971874736,3.4549150281252627,0.0,-0.4473291698586084,-0.184340319550103,-1.5275659447475576,19.0,77.0,72.0,64.0,64.0,63.0,40.0,26.0,9.0,1585.5376835977268
141,993.308741,9.648882429441255,4.6860474023534335,0.15708419435684404,-0.2439900660553347,-0.05583783947689458,-1.4281392538311322,20.0,79.0,71.0,64.0,64.0,63.0,40.0,26.0,9.0,1498.5417910770097
142,993.473629,9.960573506572391,5.9369065729286215,0.6184665997806815,-0.05886460261740467,-0.10175732810828553,-1.3591447938878902,20.0,77.0,71.0,64.0,64.0,63.0,40.0,26.0,9.0,1592.1390189537713
143,993.629229,9.960573506572391,7.128896457825364,1.3551568628929422,-0.005065735578414721,0.29956835011872185,-1.2038633226142204,19.0,82.0,73.0,64.0,64.0,63.0,40.0,34.0,9.0,1930.4217892169818
